report_month,source_file,source_page,source_section,sl_no,project_name,agency,state,legacy_ocms_code,alternate_id,current_project_code,review_status,failure_type,raw_text_reference,notes
2025-12,FlashReport_December_2025.pdf,83,Table 6: All Ongoing Projects,871,Construction of 4 Nos Grade separtor between km. 281.000 to km. 307.600 km. 286.400 kumhari km. 299.000 Transport Nagar km. 302.000 Power House km. 304.000 Chandra Moura Chowk to km. 305.000 supeia of NH-53 old NH-06 Raipur -,,Chhattisgarh,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p83; Table 6: All Ongoing Projects; sl_no=871,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,83,Table 6: All Ongoing Projects,872,2017-18-56 (617919) Strengthening and widening of existing 2 lane road to two lane paved shoulder from km 7.750 to 26.542 & km. 32.093 to 45.786 of NH-130 on EPC mode in the state of,MoRTH,Chhattisgarh,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p83; Table 6: All Ongoing Projects; sl_no=872,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,921,"Construction & Upgradation to 2-lane with paved shoulder from Design Ch. Km at Premnagar km 66315 to Km 66535 New Thatri at Start of Km 83rd, Tunnel Km 82665 of 14.835 Km design length on Chenani-Sudhmahadev-Goha Khellani- Jammu and Kashmir",,Kishtwar-Vailoo Donipawa-Ashajipora section of NH-244 in the UT of J&K on EPC,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=921,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,922,Mode under NHO-Gen Pkg - (618395) Construction & Upgradation to 2 lane with paved shoulder from Design Km. Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of 20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT of J&K on EPC Mode Jammu and under NHO-Gen PKG- 1 Kashmir,NHIDCL,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=922,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,923,(618396) Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Jammu and Kashmir,NHIDCL,Mode Package II,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=923,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,924,(618398) Construction of Kishtwar bypass with 2 lane with paved shoulder from Design Km. 80.675 Dulhasti to km 95.550 Bandarkoot of 14.88 km & a link road to Kishtwar town from 0000 to 1.871 of length1.871 Km on Khellani - Kishtwar - Chattroo section in UT Jammu and of Jammu and Kashmir on EPC Mode Pkg-4 Kashmir,NHIDCL,,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=924,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,925,(618399) Construction & Upgradation to 2-lane with paved shoulder from Design Km 67.805 at the end of Km 83rd Tunnel near Dhrabshalla Ex. Km 83905 to Km 80.675 start of Kishtwar Bypass - Dulhasti Ex. Km 970751 of 12.870 Km length on chenani- Jammu and Kashmir,NHIDCL,Sudhmahadev-Goha Khellani-Kishtwar-vailoo-Donipawa-Ashajipora seition of NH-244,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=925,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,85,Table 6: All Ongoing Projects,926,in the UT of J&K on EPC Mode under NHO-Gen Pkg-3 (618400) Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Jammu and Kashmir,NHIDCL,Kashmir on EPC basis Pkg-3A,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p85; Table 6: All Ongoing Projects; sl_no=926,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,89,Table 6: All Ongoing Projects,1014,"Rehabilitation/ Upgradation of existing Highway to four lane standards in Kurkheda town from km.413257 to km 410775, Two lane in Shankarpur Gurnuli km 42400 to km 43100 section and Reconstruction of Major Bridge at Ch. 448558 Bhuti Nallah and Ch. 411695 Sati River bridge, Minor Bridge at Ch. 411477 and Ch. 405800 Lendhari Bridge of NH 543 Bhamhapuri-wadsa-kurkheda-korchi-Deori-Amgaon road on EPC",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p89; Table 6: All Ongoing Projects; sl_no=1014,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,89,Table 6: All Ongoing Projects,1015,mode in the State of Maharashtra (618042) Rehabilitation & Up-gradation of Sabalkhed to Ashti Section from Km 37900 to Km 55100 & Chinchpur to Jamkhed Section from km 70000 to km 72922 of NH-561 to Two lane with Paved shoulder/ Four lane configuration in the State of Maharashtra on EPC Mode Length20.122km.,MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p89; Table 6: All Ongoing Projects; sl_no=1015,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,89,Table 6: All Ongoing Projects,1016,(618046) Construction of four-lane Concrete Road from Police Headquarter Gondia City to Rawanwadi Village Birsi Airport Junction from design km 0.000 to km 15.781 existing km 39/720 of NH-753 to existing Km 8/400 of NH 543 on sections from Kohmara- Goregaon- Police HeadquarterKaranja - Collector Office Square - Balaghat T Point- Rawanwadi- Rajegaon of NH-753 and NH-543 in Gondia District in the state of,MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p89; Table 6: All Ongoing Projects; sl_no=1016,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,89,Table 6: All Ongoing Projects,1017,"Maharashtra. Total Length of the project 15.781 Km. (618059) Rehabilitation/Upgradation of existing Highway to 2LPS/4 lane of Dhawali to Rajoli from Design Km.149476 to 163476 existing Km.150000 to 164000, Pandhasala to Mohadongri from design Km.170476 to 181476 existing Km.171000 to , Ambeshivni Fata to Bodli from design Km.183476 to 185476 existing Km.184000 to",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p89; Table 6: All Ongoing Projects; sl_no=1017,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,89,Table 6: All Ongoing Projects,1018,Km.188000 to 18900 having length 28 km of NH-930 of Dhawali to Gadchroli road in the (618065) Rehabilitation & Up-gradation of Mudkhed to Nanded section from Km. 372000 to Km 388400 of NH 161A i.e. Nanded-Bhokar-Himayatnagar-Kinwat-Mahur-Arani Road Design chainage from Km 372000 Mudkhed to Km 387650 Nanded of NH 161A,MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p89; Table 6: All Ongoing Projects; sl_no=1018,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,90,Table 6: All Ongoing Projects,1022,"Upgradation of exhisting 2 lane flexible pavement to 2 lane paved shoulders rigid pavement from design chainage Km 66.00 to Design Km 82.440 Start of Kolhapur Municipal corporation near Phulewadi to kale, design length 16.440 Km section on",,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p90; Table 6: All Ongoing Projects; sl_no=1022,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,90,Table 6: All Ongoing Projects,1023,mode (618098) Strengthening and Widening of road Sakoli- Wadsa-Armori-Gadchiroli-Ashti- Allapalli - Sironcha National highway NH 353C in Km 262/00 to 321/00 including 16 minor Bridges and 2 Major Bridge Total length 59 Km section from repanpalli to sironcha in Gadchiroli Dist in the State of Maharashtra.,MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p90; Table 6: All Ongoing Projects; sl_no=1023,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,90,Table 6: All Ongoing Projects,1024,(618133) Upgradatiobn and Rehabilitation of Section of NH 361 F from Parli 00/000 to Gangakhed 30/400 to Two Lanes with paved shoulder / Four lane configurations on,MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p90; Table 6: All Ongoing Projects; sl_no=1024,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,90,Table 6: All Ongoing Projects,1035,Balance work of Rehabilitation and Up-gradation to 2-lane road with paved shoulders configuration for NH- 965DD from Pacharal-Mandangad-Mhapral-Rajewadi Upto Junction of NH-66 Ch-22700 to 75100 Km and Ambadave connector Birth place of Dr.,,Maharashtra,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p90; Table 6: All Ongoing Projects; sl_no=1035,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,90,Table 6: All Ongoing Projects,1036,"Maharashtra on EPC mode. Balance Work (618198) Rehabilitation, Upgradation & Widening of existing Highway to Rigid Pavement 2 Lane with Paved Shoulder of NH 965DD from Lonand Shirval-Bhor Mandangad-Pchral Section ShindewadiPhata to Varandah Ghat Dist Border from Km 33/550 to 92/550 in the state of Maharashtra on EPC mode.",MoRTH,Maharashtra,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p90; Table 6: All Ongoing Projects; sl_no=1036,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,94,Table 6: All Ongoing Projects,1126,Improvement & Up-gradation of NH-734 Section of Moradabad-Thakurdwara Kashipur including Moradabad & Kashipur Bypasse Package-III Kashipur Bypass Length Multi-States (Uttar,,"14.490 Km., Starts from Ch. 38770 and ends at Ch. 53260 existing Ch. 05560 Pradesh,",,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p94; Table 6: All Ongoing Projects; sl_no=1126,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1135,Balance work of Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 old NH-150 from existing km 98.380 near Chizami vill. to km120.367 Nagaland/Manipur Border [Design km 95.700 to design km 117.200] [Design Length,,Nagaland,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1135,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1136,Package-V under NHO (618296) Construction of 2-lane with hard shoulder of Kohima - Jessami road on NH-29 Old NH- 150 from existing Km 30.474 Near Kidwema road Chakahabama to existing Km 53.220 Near Kikruma Village Design Km 29.60 to Km 51.50 Design length-21.90 Km,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1136,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1137,Package-II -Balance work (618297) 4-Laning of Balance work of Dimapur-Kohima Road from design km 152.490 to km 166.700 Existing km 156.000 to km 172.900 Excluding Dimapur & Kohima Bypass,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1137,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1138,(618328) Construction of 4/6 Laning from Km 132.375 to Km 153.058 Total New Alignment length of 20.683 Km of Daboka-Dimapur Section Dimapur Bypass Nagaland Portion,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1138,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1139,"(618329) Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-I Design Chainage 0000 Km to 34795 Km, in the State of Nagaland on EPC",NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1139,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1140,(618364) Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-III Design Chainage 69875 Km to 106816 Km in the State of Nagaland on,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1140,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1141,(618365) Widening to 2 Lane with Hard shoulder of Akegwo-Avangkhu section of NH-202K for Package-II Design Chainage 34795 Km to 69875 Km in the State of Nagaland on EPC,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1141,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1142,(618366) Construction of 2 laning with Hard shoulder of Peren-Dimapur section on NH 129A from Design Km 146.208 to Km 163.592 Length- 17.384 km in the state of Nagaland,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1142,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1143,(618413) Construction of Balance work for 2-lane with hard shoulder of Peren- Dimapur section on NH-129A from Design Km 126.775 to Km 146.208 Length 19.433 Km in the state,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1143,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1144,"(618414) Construction of 2-lane with hard shoulders of Merangkong-Tamlu-Mon road Wakching Twon portion on EPC basis from existing Chainage Km 59000 to Km 73640 [Design Km. 59000 to Km, 72450] Design length - 13.450 Km under SARDP-NE package-V Balance work",NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1144,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,95,Table 6: All Ongoing Projects,1145,(618422) Construction of 2-Lane with hard shoulders of Merangkong-Tamlu-Mon MTM Road from existing Km 20.456 to Km 41.065 Design Km. 20 to Km. 40.0 Design Length-,NHIDCL,Nagaland,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p95; Table 6: All Ongoing Projects; sl_no=1145,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,96,Table 6: All Ongoing Projects,1165,Up-gradation to two lane with paved shoulder configuration of NH-354 Section Arifkes- Ferozepur-Muktsar-Malaut from Km 201.500 to Km 212.500 & Km 229.690 to Km 269.960 and strengthening of existing pavement from Km 212.500 to Km,,Punjab,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p96; Table 6: All Ongoing Projects; sl_no=1165,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,96,Table 6: All Ongoing Projects,1166,No. NH-354-PB-2020-21-532 (618024) Delhi-Amritsar-Katra Expressway Phase-I Pkg-VII from Junction with Patiala-Bathinda road NH-7 near Bhawanigarh to Junction with Ludhiana-Malerhkotla SH-11 near,MoRTH,Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p96; Table 6: All Ongoing Projects; sl_no=1166,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,96,Table 6: All Ongoing Projects,1167,(618487) Delhi-Amritsar-Katra Expressway Phase-I Pkg-VIII from Junction with Ludhiana- Malerkotla SH-11 near Bhogiwal village to Junction with Ludhiana-Moga road NH-5,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p96; Table 6: All Ongoing Projects; sl_no=1167,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,96,Table 6: All Ongoing Projects,1168,(618488) Delhi-Amritsar-Katra Expressway Phase-I Pkg-IX from Junction with Ludhiana-Moga road NH-5 near Mullanpur Dakha to Junction with Jalandhar - Moga road NH-703 near,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p96; Table 6: All Ongoing Projects; sl_no=1168,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,96,Table 6: All Ongoing Projects,1169,(618489) Delhi-Amritsar-Katra Expressway Phase-I Pkg-X from Jn. with Jalandhar - Moga road NH-703 to Jn. with Jalandhar-Kapurthala road NH-703A and to Jn. with Kapurthala -,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p96; Table 6: All Ongoing Projects; sl_no=1169,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,97,Table 6: All Ongoing Projects,1170,(618490) Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p97; Table 6: All Ongoing Projects; sl_no=1170,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,97,Table 6: All Ongoing Projects,1171,(618491) Delhi-Amritsar-Katra Expressway Phase-I Pkg-XII from Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur to Junction with,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p97; Table 6: All Ongoing Projects; sl_no=1171,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,97,Table 6: All Ongoing Projects,1172,(618492) Delhi-Amritsar-Katra Expressway Phase-I Spur-I from Jn. with Kapurthala - Sultanpur Lodhi Road NH-703A near Isharwal village to Jn. with Kapurthala - Tarn Taran road,National Highways Authority of India [NHAI],Punjab,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p97; Table 6: All Ongoing Projects; sl_no=1172,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,97,Table 6: All Ongoing Projects,1190,Construction of 2 lane with paved shoulder for the work of Development of remaining sections of NH-325 Balotra to sanderao via Jalore to 2 lane with paved shoulder configuration by Construction of Byasses for town portions1 Asotra- Brahmdham bypass 2Siwana Bypass 3 Mokalsar Bypass 4 Major realignment at Kathadi 5 Major realignment at Bishangarh 6 Jalore Bypass 7 Ahore Town portion 8 Dujana Bypass in,,Rajasthan,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p97; Table 6: All Ongoing Projects; sl_no=1190,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,98,Table 6: All Ongoing Projects,1191,the state of Rajasthan on EPC Mode (618011) Up-gradation to 2 lane with Paved shoulder from Charbhuja at Design km 0 existing km 150.00 to Neechli Oden Nathdwara at Design ch. Km 88.800 existing km,MoRTH,Rajasthan,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p98; Table 6: All Ongoing Projects; sl_no=1191,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,98,Table 6: All Ongoing Projects,1192,(618093) Upgradation of two lane paved shoulder from Shahpura existing km. 0.00 Design Ch. 000 to Thanagazi existing Km.37352 Design Ch. 36810 of NH-248A on EPC mode in,MoRTH,Rajasthan,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p98; Table 6: All Ongoing Projects; sl_no=1192,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,101,Table 6: All Ongoing Projects,1254,Improvement and Widening to 2-lane with paved shoulder of road from existing Km 438.170 Khowai Chowmuhani to existing Km 439.410 South Pulinpur of NH-08 and from design Km 0.000 South Pulinpur to design Km 36.00 near Rangamati of NH,,Tripura,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p101; Table 6: All Ongoing Projects; sl_no=1254,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,101,Table 6: All Ongoing Projects,1255,EPC mode under JICA ODA Loan Phase VI Package-2 (618369) Improvement and Widening to 2-lane with paved shoulder of road from Km 101.300 to km 127.319 Total Length 26.019 Km i.e. the Khowai Teliamura-Amarpur-Harina- Sabroom section of NH 208 in the state of Tripura on EPC under JICA ODA Loan Phase VI Package-1,NHIDCL,Tripura,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p101; Table 6: All Ongoing Projects; sl_no=1255,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,101,Table 6: All Ongoing Projects,1256,(618370) Rehabilitation and up-gradation of road from design km 25.250 to km 36.460 Total lengh 11.210 km of Kailashahar-Kurti Bridge section on NH-208A to 2-lane with paved,NHIDCL,Tripura,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p101; Table 6: All Ongoing Projects; sl_no=1256,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,101,Table 6: All Ongoing Projects,1257,(618385) Rehabilitation & Upgradation of Road from Km 0.00 to Km 18.600 Total length-18.600 km of Kumarghat-Kailashahar section on NH-208 to 2-lane with Paved shoulder on,NHIDCL,Tripura,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p101; Table 6: All Ongoing Projects; sl_no=1257,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
2025-12,FlashReport_December_2025.pdf,104,Table 6: All Ongoing Projects,1328,Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim- Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of,,West Bengal,,,,UNRESOLVED,AMBIGUOUS_OR_MALFORMED_SOURCE_LAYOUT,FlashReport_December_2025.pdf:p104; Table 6: All Ongoing Projects; sl_no=1328,No primary or alternate identifier was recovered in controlled validation; no identity was inferred from project text.
2025-12,FlashReport_December_2025.pdf,104,Table 6: All Ongoing Projects,1329,Mode under Phase-A of SARDP-NE in the State of West Bengal PKG- IVA (618430) Construction of alternative highway to Gangtok in Sikkim via Bagrakot -Chuikhim- Nimbong -Kafer-Bakhim-Algarah-Rhenock in the State of West Bengal and from Rhenok-Rorathang-Pakyong along with spur from Aritar-Rolep-Menla in the State of,NHIDCL,West Bengal,,,,PARSER_FAILURE,SOURCE_PRIMARY_TOKEN_NOT_RECOVERED,FlashReport_December_2025.pdf:p104; Table 6: All Ongoing Projects; sl_no=1329,"A numeric parenthetical token remains in extracted source text, but controlled validation did not safely bind it to this serial row."
